"full_name","country_code","role","season","team","mins_played","xG","goals","xA","assists","xT","xT_from_passes","xT_from_carries","won_dribblings","attempted_dribblings","won_dribblings_ratio","offensive_aero"
Zlatan Ibrahimovic,SWE,FW,2021,Milan,1008,6.2524492,8,2.0122613,3,0.7941231,0.6358275,0.1582956,5,9,0.5556,68.9437
Fabio Quagliarella,ITA,FW,2021,Sampdoria,1658,4.2591784,4,1.83709,3,0.6302698,0.5852175,0.0450523,11,23,0.4783,38.1917
Cristiano Ronaldo,PRT,FW,2021,Juventus,31,0.2364108,,0.0281312,,-0.0182404,-0.0175967,-0.0006437,1,1,1.0000,
Goran Pandev,MKD,FW,2021,Genoa,835,0.4649214,,1.1868174,1,0.6278321,0.3496608,0.2781713,10,22,0.4545,40.5377
Stefano Okaka,ITA,FW,2021,Udinese,20,0.0338229,,0.0015251,1,0.0169066,0.0025241,0.0143825,,,,54.5864
Franck Ribéry,FRA,FW,2021,Salernitana,1426,0.8601618,,3.2906701,3,1.6867644,0.5632715,1.1234929,28,63,0.4444,24.3009
Samuel Di Carmine,ITA,FW,2021,Verona,35,0.0528104,,0.001436,,-0.005144,-0.005144,,,,,61.6815
Alexis Sánchez,CHL,FW,2021,Internazionale,862,4.95161,5,2.5208738,2,1.4815018,0.7891089,0.6923929,21,39,0.5385,40.9643
Nani,PRT,WAM,2021,Venezia,283,0.0797658,,0.3690447,1,0.2582956,0.0621515,0.1961441,5,12,0.4167,46.1631
Fernando Forestieri,ITA,FW,2021,Udinese,53,1.1131727,2,0.3265817,1,0.0317559,0.0247261,0.0070298,1,1,1.0000,40.2408
Marko Arnautovic,AUT,FW,2021,Bologna,2703,14.9463184,14,2.3508342,1,0.6504689,0.0425985,0.6078704,37,59,0.6271,48.147
Felipe Caicedo,ECU,FW,2021,Genoa,278,1.2327335,1,0.4576177,2,-0.0842216,-0.0174204,-0.0668012,1,5,0.2000,54.7942
Edin Dzeko,BIH,FW,2021,Internazionale,2475,14.6271539,13,3.4209883,5,1.6762553,1.026771,0.6494843,17,41,0.4146,53.5641
Olivier Giroud,FRA,FW,2021,Milan,1902,10.1596838,11,1.8446551,3,-0.6872281,-0.3887247,-0.2985034,4,8,0.5000,79.2715
Antonio Candreva,ITA,WAM,2021,Sampdoria,3131,6.0052318,7,8.5679158,10,4.6339072,3.4989704,1.1349368,21,51,0.4118,38.0341
Milan Djuric,BIH,FW,2021,Salernitana,2173,5.7899022,5,3.4561296,3,0.429332,0.6498646,-0.2205326,8,16,0.5000,83.8014
Pedro,ESP,WAM,2021,Lazio,2042,3.6442885,9,3.1340335,5,2.2678672,1.0466605,1.2212067,31,57,0.5439,36.1256
Nikola Kalinic,HRV,FW,2021,Verona,399,3.0495753,4,0.5439559,1,0.0481028,-0.1049937,0.1530965,2,4,0.5000,33.3015
Francesco Caputo,ITA,FW,2021,Sampdoria,2799,10.5546472,11,3.0705757,4,0.6032458,-0.4359484,1.0391942,13,27,0.4815,54.1462
Francesco Caputo,ITA,FW,2021,Sassuolo,157,0.7194605,,0.7513266,1,0.1561109,-0.0526082,0.2087191,,1,,55.2705
José Callejón,ESP,WAM,2021,Fiorentina,1300,1.607141,1,3.422044,2,1.1284888,0.9491317,0.1793571,7,13,0.5385,44.8441
Dries Mertens,BEL,FW,2021,Napoli,1386,5.1459643,11,2.5564743,1,1.7281554,0.8990701,0.8290853,17,29,0.5862,31.8756
Diego Farias,BRA,FW,2021,Cagliari,62,0.0357027,,0.0076189,,-0.0360418,-0.0469515,0.0109097,1,1,1.0000,43.5198
Josip Ilicic,SVN,FW,2021,Atalanta,836,2.8806207,3,3.0782969,4,2.0086137,1.193676,0.8149377,27,40,0.6750,22.4624
Aleksandr Kokorin,RUS,FW,2021,Fiorentina,50,0.0,,0.0119431,,-0.0236085,-0.021288,-0.0023205,,,,54.9856
Riccardo Saponara,ITA,WAM,2021,Fiorentina,1286,2.3975804,3,2.7419006,3,2.1804203,0.8172005,1.3632198,20,53,0.3774,53.8244
Stephan El Shaarawy,ITA,WAM,2021,Roma,1046,2.7884041,3,2.5860031,,1.5712087,1.3990828,0.1721259,20,39,0.5128,54.1559
Ciro Immobile,ITA,FW,2021,Lazio,2716,22.2525393,27,3.0179326,2,1.5193008,-0.166922,1.6862228,19,40,0.4750,42.9136
Mattia Destro,ITA,FW,2021,Genoa,1753,7.6784571,9,0.4603556,1,0.3887835,-0.0528667,0.4416502,11,26,0.4231,32.7187
Simone Zaza,ITA,FW,2021,Torino,118,1.0256555,,0.0867376,,0.0902258,-0.0878144,0.1780402,2,3,0.6667,54.371
Manolo Gabbiadini,ITA,FW,2021,Sampdoria,1147,4.5598259,6,1.6368975,2,0.7119254,0.3186843,0.3932411,4,10,0.4000,38.0003
Leonardo Pavoletti,ITA,FW,2021,Cagliari,1506,6.1709772,5,0.9282091,1,-0.0373164,-0.4262626,0.3889462,6,10,0.6000,62.2731
Ilija Nestorovski,MKD,FW,2021,Udinese,183,0.8639876,1,0.2133149,1,0.2757198,0.170018,0.1057018,,1,,34.4211
Lorenzo Insigne,ITA,WAM,2021,Napoli,2309,15.8766749,11,5.5750649,9,4.0787735,2.2244175,1.854356,41,80,0.5125,45.7673
